,repeat time,n,m,d,s,pi1,pi2,Maxiter,lambda,rho,c,deg,error,error_sd,Nerror,error_to_tall,Q_loss_to_tall,error_to_all,Q_loss_to_all,beta_1,beta_14,beta_27
1,5,100,20,125,27,0.5,0.5,500,0.1,0.5,10,5,0.782798223,0.03549543,0.450000668,0.055876098,0.00030542,0.025564576,0.001032204,0.084265064,0.016723409,0.011866223
2,5,100,20,125,27,0.5,0.5,1000,0.1,0.5,10,5,0.783655536,0.035676114,0.450493505,0.033501729,0.000138837,0.025450197,0.000983293,0.083494902,0.015976961,0.012304848
3,5,100,20,125,27,0.5,0.5,1500,0.1,0.5,10,5,0.782502121,0.037086725,0.449830451,0.027673405,0.000140026,0.025462132,0.000954639,0.083604877,0.01607639,0.012040131
4,5,100,20,125,27,0.5,0.5,2000,0.1,0.5,10,5,0.782405179,0.036005965,0.449774722,0.02500827,0.000143374,0.024981116,0.001021466,0.083378456,0.015638822,0.012441908
5,5,100,20,125,27,0.5,0.5,2500,0.1,0.5,10,5,0.783247501,0.036637015,0.450258941,0.023815128,0.000154725,0.024596214,0.000948915,0.083566776,0.015651553,0.012006372
6,5,100,20,125,27,0.5,0.5,3000,0.1,0.5,10,5,0.783089777,0.037073875,0.450168272,0.023289377,0.000157872,0.025879814,0.000968202,0.083956202,0.016207359,0.011556085
7,5,100,20,125,27,0.5,0.5,3500,0.1,0.5,10,5,0.783635782,0.037927277,0.450482149,0.023022782,0.000163613,0.02546093,0.0009926,0.083835309,0.016047733,0.011948698
8,5,100,20,125,27,0.5,0.5,4000,0.1,0.5,10,5,0.782351599,0.036613328,0.449743921,0.022829416,0.00016862,0.024957821,0.001063892,0.083782732,0.015775558,0.01167238
9,5,100,20,125,27,0.5,0.5,4500,0.1,0.5,10,5,0.782673736,0.036520902,0.449929106,0.02263409,0.000169762,0.024821724,0.001029012,0.084335045,0.016428331,0.011708959
10,5,100,20,125,27,0.5,0.5,5000,0.1,0.5,10,5,0.782704917,0.036749146,0.44994703,0.022466738,0.000171615,0.025242662,0.000989457,0.083546684,0.015779921,0.011888873
11,5,100,20,125,27,0.5,0.5,5500,0.1,0.5,10,5,0.783399028,0.035742658,0.450346048,0.022229014,0.000174105,0.024721677,0.000964127,0.083624158,0.01613647,0.012206224
12,5,100,20,125,27,0.5,0.5,6000,0.1,0.5,10,5,0.783146658,0.037304144,0.45020097,0.022253533,0.000174982,0.02492079,0.000961124,0.083418314,0.016385986,0.01242107
13,5,100,20,125,27,0.5,0.5,6500,0.1,0.5,10,5,0.782535996,0.036221729,0.449849924,0.022306138,0.000177403,0.02552108,0.001066824,0.08367332,0.016139787,0.012039789
14,5,100,20,125,27,0.5,0.5,7000,0.1,0.5,10,5,0.782101562,0.038112067,0.449600185,0.02220333,0.000176699,0.02496918,0.000938426,0.084250535,0.016295105,0.011989343
1,5,100,20,125,27,0.5,0.5,7500,0.1,0.5,10,5,0.782701804,0.03801425,0.449945241,0.022112148,0.000180171,0.024558495,0.000943843,0.083840354,0.016215166,0.012534665
2,5,100,20,125,27,0.5,0.5,8000,0.1,0.5,10,5,0.781765858,0.037189878,0.449407201,0.022161572,0.000183295,0.025512307,0.000970537,0.084501343,0.016056756,0.011891497
3,5,100,20,125,27,0.5,0.5,8500,0.1,0.5,10,5,0.782089416,0.038075713,0.449593202,0.022141535,0.000181853,0.024879847,0.000950995,0.083309752,0.016256681,0.012055727
4,5,100,20,125,27,0.5,0.5,9000,0.1,0.5,10,5,0.782800704,0.037357343,0.450002095,0.022199313,0.000183447,0.025261729,0.000879259,0.083618012,0.015790731,0.012286118
5,5,100,20,125,27,0.5,0.5,9500,0.1,0.5,10,5,0.782478533,0.036686864,0.449816891,0.02215491,0.000183595,0.026287613,0.000986445,0.084212792,0.016104837,0.012358916
6,5,100,20,125,27,0.5,0.5,10000,0.1,0.5,10,5,0.784092698,0.036934212,0.450744813,0.022187635,0.000187005,0.024668097,0.000986356,0.083603175,0.015950934,0.011798995
