,repeat time,n,m,d,s,pi1,pi2,Maxiter,lambda,rho,c,deg,error,error_sd,Nerror,error_to_tall,Q_loss_to_tall,error_to_all,Q_loss_to_all,beta_1,beta_14,beta_27
1,5,1000,20,125,27,0.5,0.5,100,0,0.5,10,5,0.418029089,0.012840916,0.240308887,0.367237697,0.028706794,0.003298213,-0.000105485,0.105618027,0.031876713,0.01206139
2,5,1000,20,125,27,0.5,0.5,500,0,0.5,10,5,0.21177608,0.021361239,0.121741944,0.232301786,0.003087257,0.005224252,-1.50E-06,0.227300979,0.041902665,0.024389344
3,5,1000,20,125,27,0.5,0.5,1000,0,0.5,10,5,0.217328764,0.020368148,0.124933969,0.134027647,0.000849908,0.005023989,8.24E-06,0.235926256,0.042086973,0.024565917
4,5,1000,20,125,27,0.5,0.5,1500,0,0.5,10,5,0.217878999,0.019895133,0.125250278,0.092054858,0.000404236,0.005154155,1.38E-05,0.236901649,0.042161665,0.024297501
5,5,1000,20,125,27,0.5,0.5,2000,0,0.5,10,5,0.218153196,0.019958388,0.125407903,0.069977305,0.00024389,0.005503321,1.48E-05,0.237115631,0.042147948,0.024320919
6,5,1000,20,125,27,0.5,0.5,2500,0,0.5,10,5,0.218162286,0.019905387,0.125413129,0.056316139,0.00016663,0.005801965,1.14E-05,0.237173022,0.042088083,0.024324255
7,5,1000,20,125,27,0.5,0.5,3000,0,0.5,10,5,0.218243843,0.019906421,0.125460013,0.047136852,0.000122284,0.005901429,1.11E-05,0.237129324,0.042196785,0.024366308
1,5,1000,20,125,27,0.5,0.5,3500,0,0.5,10,5,0.218233501,0.019875694,0.125454068,0.04053126,9.45E-05,0.005857577,9.00E-06,0.237105387,0.042090372,0.024390957
2,5,1000,20,125,27,0.5,0.5,4000,0,0.5,10,5,0.218248618,0.01995133,0.125462758,0.035591153,7.54E-05,0.006008239,1.09E-05,0.237062344,0.042312356,0.02420332
3,5,1000,20,125,27,0.5,0.5,4500,0,0.5,10,5,0.218196206,0.019831099,0.125432628,0.031751144,6.18E-05,0.005737077,1.24E-05,0.236987021,0.042147508,0.024313759
4,5,1000,20,125,27,0.5,0.5,5000,0,0.5,10,5,0.218214276,0.020014883,0.125443016,0.02868588,5.19E-05,0.005859231,9.64E-06,0.23704544,0.042198606,0.024296619
5,5,1000,20,125,27,0.5,0.5,5500,0,0.5,10,5,0.218193228,0.019864554,0.125430917,0.0261794,4.45E-05,0.005961057,1.40E-05,0.237075406,0.042233151,0.024305551
6,5,1000,20,125,27,0.5,0.5,6000,0,0.5,10,5,0.218204359,0.019787311,0.125437315,0.024100172,3.87E-05,0.005996259,8.72E-06,0.237178155,0.04219596,0.02430804
7,5,1000,20,125,27,0.5,0.5,6500,0,0.5,10,5,0.218200305,0.019854969,0.125434985,0.022353534,3.42E-05,0.005879166,1.32E-05,0.237033283,0.042324767,0.0243195
8,5,1000,20,125,27,0.5,0.5,7000,0,0.5,10,5,0.218101879,0.019927515,0.125378403,0.020859033,3.05E-05,0.006053369,8.94E-06,0.237130943,0.04221316,0.024368777
9,5,1000,20,125,27,0.5,0.5,7500,0,0.5,10,5,0.218088421,0.019912084,0.125370667,0.019585108,2.74E-05,0.006098685,1.10E-05,0.23700094,0.042288991,0.024265198
10,5,1000,20,125,27,0.5,0.5,8000,0,0.5,10,5,0.218210777,0.019985818,0.125441005,0.018462954,2.49E-05,0.005898557,1.70E-05,0.23717062,0.042164871,0.024328488
11,5,1000,20,125,27,0.5,0.5,8500,0,0.5,10,5,0.218103627,0.019883026,0.125379408,0.017480698,2.27E-05,0.005903336,1.01E-05,0.237116694,0.04222364,0.024273243
12,5,1000,20,125,27,0.5,0.5,9000,0,0.5,10,5,0.218236424,0.019977472,0.125455748,0.016615929,2.10E-05,0.006018334,1.33E-05,0.237150395,0.042173646,0.024342446
13,5,1000,20,125,27,0.5,0.5,9500,0,0.5,10,5,0.21819821,0.019922453,0.12543378,0.015857873,1.93E-05,0.006091305,1.11E-05,0.237097623,0.042278566,0.024311344
14,5,1000,20,125,27,0.5,0.5,10000,0,0.5,10,5,0.21810087,0.019928294,0.125377824,0.015151214,1.79E-05,0.00587364,1.13E-05,0.237281437,0.042252816,0.024418284
